appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
577380,Draw The Way,OverjoyedGameDevs,OverjoyedGameDevs,,15,0,0,"0 .. 20,000",0,0,0,0,59,599,90,"English, Hungarian, Portuguese - Brazil","Action, Indie",5,"{'Action': 34, 'Indie': 34, 'Platformer': 14, '2D': 14, 'Difficult': 14, 'Early Access': 13, 'Singleplayer': 13}"
577390,MAKE IT as an Artist,Deathink,Deathink,,77,19,0,"0 .. 20,000",4,0,4,0,0,0,0,English,"Free to Play, Simulation",0,"{'Free to Play': 42, 'Simulation': 23, 'Pixel Graphics': 6}"
577400,Pixel Puzzles Ultimate - Puzzle Pack: PP1 Japan,DL Softworks,KISS ltd,,7,2,0,"0 .. 20,000",0,0,0,0,499,499,0,English,"Adventure, Casual, Free to Play, Indie, Simulation, Sports, Strategy",0,"{'Indie': 22, 'Strategy': 21, 'Adventure': 21, 'Casual': 21, 'Free to Play': 20, 'Simulation': 20, 'Sports': 20}"
577401,Pixel Puzzles Ultimate - Puzzle Pack: PP1 UndeadZ,DL Softworks,KISS ltd,,6,2,0,"0 .. 20,000",0,0,0,0,499,499,0,English,"Violent, Gore, Action, Adventure, Casual, Free to Play, Indie, Simulation, Sports, Strategy",0,"{'Strategy': 22, 'Adventure': 22, 'Action': 21, 'Indie': 21, 'Casual': 21, 'Free to Play': 20, 'Simulation': 20, 'Sports': 20}"
577402,Pixel Puzzles Ultimate - Puzzle Pack: PP2 Anime,DL Softworks,KISS ltd,,11,2,0,"0 .. 20,000",0,0,0,0,699,699,0,English,"Adventure, Casual, Free to Play, Indie, Simulation, Sports, Strategy",0,"{'Adventure': 22, 'Indie': 22, 'Strategy': 21, 'Free to Play': 21, 'Casual': 21, 'Simulation': 21, 'Sports': 20, 'Anime': 9}"
577403,Pixel Puzzles Ultimate - Puzzle Pack: PP2 Birds,DL Softworks,KISS ltd,,6,1,0,"0 .. 20,000",0,0,0,0,699,699,0,English,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",0,"{'Free to Play': 21, 'Indie': 21, 'Casual': 21, 'Sports': 21, 'Strategy': 20, 'Simulation': 20}"
577404,Pixel Puzzles Ultimate - Puzzle Pack: PP2 RADical ROACH,DL Softworks,KISS ltd,,6,2,0,"0 .. 20,000",0,0,0,0,699,699,0,English,"Action, Adventure, Casual, Free to Play, Indie, Simulation, Sports, Strategy",0,"{'Indie': 22, 'Casual': 22, 'Free to Play': 21, 'Strategy': 19, 'Action': 19, 'Adventure': 19, 'Simulation': 19, 'Sports': 19}"
577405,Pixel Puzzles Ultimate - Puzzle Pack: PP2 Space,DL Softworks,KISS ltd,,5,0,0,"0 .. 20,000",0,0,0,0,699,699,0,English,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",0,"{'Free to Play': 21, 'Indie': 21, 'Casual': 21, 'Strategy': 20, 'Simulation': 20, 'Sports': 20}"
577420,"Double Fine Adventure: Sidequest 1 // Tim Schafer - ""My Father Told Me It Would Be...""",,,,23,3,0,"0 .. 20,000",0,0,0,0,0,0,0,English,,0,"{'Documentary': 53, 'Indie': 32, 'Game Development': 30, 'Episodic': 28, 'Gaming': 28}"
577421,Double Fine Adventure: Sidequest 2 // Tim Schafer - Im Such a F@#$in Genius,,,,23,3,0,"0 .. 20,000",0,0,0,0,0,0,0,English,,0,"{'Documentary': 53, 'Indie': 32, 'Game Development': 30, 'Episodic': 28, 'Gaming': 28}"
577422,"Double Fine Adventure: Sidequest 3 // Lee Petty - ""I Was a Very Pleasant Baby""",,,,23,3,0,"0 .. 20,000",0,0,0,0,0,0,0,English,,0,"{'Documentary': 53, 'Indie': 32, 'Game Development': 30, 'Episodic': 28, 'Gaming': 28}"
576620,The Puzzle Room VR ( Escape The Room ),Bellcat Game,Bellcat Game,,39,10,0,"0 .. 20,000",0,0,0,0,1299,1299,0,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese","Action, Adventure, Indie, Simulation",0,"{'Indie': 33, 'Simulation': 33, 'Action': 23, 'Adventure': 23, 'VR': 23, 'Puzzle': 19, 'Casual': 14, 'Singleplayer': 14}"
576640,GUNNVR,Artificient Games Inc.,Artificient Games Inc.,,0,0,0,"0 .. 20,000",0,0,0,0,299,299,0,English,"Action, Adventure, Indie, RPG, Simulation, Early Access",0,[]
576650,Fovos VR,OnSkull Games,OnSkull Games,,61,26,0,"50,000 .. 100,000",9,0,9,0,0,0,0,English,"Action, Free to Play",1,"{'Free to Play': 56, 'Action': 39, 'Horror': 34, 'Multiplayer': 28, 'VR': 18, 'Zombies': 11}"
576660,Snake Party,Displacement Studios,Displacement Studios,,12,19,0,"100,000 .. 200,000",224,0,237,0,99,99,0,English,"Indie, Racing",0,"{'Indie': 36, 'Racing': 21}"
576670,Sky Is Arrows,"2,000 Damage",Sometimes You,,11,4,0,"0 .. 20,000",0,0,0,0,999,999,0,English,"Adventure, Indie, Strategy",0,"{'Strategy': 21, 'Adventure': 20, 'Indie': 20}"
576680,The Legends of Owlia Demo,Gradual Games,Gradual Games,,7,2,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Action, Adventure, Indie",0,"{'Action': 22, 'Adventure': 22, 'Indie': 21}"
576690,King of Crowns Chess Online,Starlight Studios,U Game Me,,2,4,0,"0 .. 20,000",0,0,0,0,999,999,0,English,"Casual, Indie, Strategy",0,"{'Indie': 32, 'Casual': 32, 'Strategy': 31, 'Multiplayer': 11, 'Card Game': 10, 'Great Soundtrack': 10, 'Singleplayer': 10, 'Turn-Based Strategy': 9, 'Chess': 9}"
576700,Hollow Halls,Broken Code Games,Broken Code Games,,0,5,0,"0 .. 20,000",0,0,0,0,299,299,0,English,Indie,0,{'Indie': 23}
576720,"Light and Dance VR - Music, Action, Relaxation",Hermann Fischer,Total Creations,,15,5,0,"0 .. 20,000",0,0,0,0,899,899,0,English,"Simulation, Sports",1,"{'Simulation': 31, 'Sports': 31, 'VR': 18, 'Action': 11, 'VR Only': 1}"
